"evo_line","P","V","O","time","phage","plasmid","rep"
"C",80,224,172,"T2","N","N",1
"C",62,162,168,"T2","N","N",2
"C",27,148,140,"T2","N","N",3
"C",18,60,28,"T2","N","N",4
"C",58,86,76,"T2","N","N",5
"C",28,100,62,"T2","N","N",6
"P",38,108,36,"T2","Y","N",1
"P",88,104,46,"T2","Y","N",2
"P",NA,NA,NA,"T2","Y","N",3
"P",48,94,56,"T2","Y","N",4
"P",42,100,84,"T2","Y","N",5
"P",26,96,80,"T2","Y","N",6
"PL",55,102,118,"T2","N","Y",1
"PL",72,104,118,"T2","N","Y",2
"PL",19,78,94,"T2","N","Y",3
"PL",26,86,138,"T2","N","Y",4
"PL",36,76,112,"T2","N","Y",5
"PL",40,108,122,"T2","N","Y",6
"PLP",44,122,90,"T2","Y","Y",1
"PLP",66,100,136,"T2","Y","Y",2
"PLP",68,104,130,"T2","Y","Y",3
"PLP",76,154,72,"T2","Y","Y",4
"PLP",36,148,118,"T2","Y","Y",5
"PLP",48,148,100,"T2","Y","Y",6
