"species","rep","int","trophic"
"O",1,-0.308771635270196,"phage"
"O",1,0.0566549695793466,"plasmid"
"O",2,-0.015239966556738,"phage"
"O",2,0.484160217264921,"plasmid"
"O",3,0.182226701911711,"phage"
"O",3,0.380211241711606,"plasmid"
"O",4,-0.121733596733089,"plasmid"
"O",4,0.105803726168038,"phage"
"O",5,-0.0144778233686225,"phage"
"O",5,0.423934562361827,"plasmid"
"O",6,-0.160446733101358,"phage"
"O",6,-0.0596720050957096,"plasmid"
"P",1,-0.842505229435976,"phage"
"P",1,-0.305828878545751,"plasmid"
"P",2,-0.981738683025683,"phage"
"P",2,-0.233278211397138,"plasmid"
"P",3,-0.893402719588812,"phage"
"P",3,-0.217252997927207,"plasmid"
"P",4,-0.660765651665789,"plasmid"
"P",4,-0.432471658846297,"phage"
"P",5,-0.802773725291976,"phage"
"P",5,-0.148419832457823,"plasmid"
"P",6,-0.899884847116732,"phage"
"P",6,-0.388180171382881,"plasmid"
"V",1,0.294399416764969,"plasmid"
"V",1,0.539912084579118,"phage"
"V",2,-0.0630517457470896,"plasmid"
"V",2,0.160579092877434,"phage"
"V",3,-0.0184834056940133,"phage"
"V",3,0.0122344564170112,"plasmid"
"V",4,-0.447158031342219,"phage"
"V",4,0.0969100130080571,"plasmid"
"V",5,-0.214549510874857,"phage"
"V",5,0.301029995663981,"plasmid"
"V",6,0.0511525224473814,"plasmid"
"V",6,0.301029995663981,"phage"
