"line","time","species","dilution","dil_fact","count","type","pfus","logpfus"
"PP1","2","P",0,0,0,"mono",0,0
"PP2","2","P",1,100,3,"mono",300,2.47712125471966
"PP3","2","P",0,0,0,"mono",0,0
"PP4","2","P",0,0,0,"mono",0,0
"PP5","2","P",0,0,0,"mono",0,0
"PP6","2","P",0,0,0,"mono",0,0
"OP2","2","O",100000,100,10,"mono",100000000,8
"OP3","2","O",100,100,6,"mono",60000,4.77815125038364
"OP4","2","O",100,100,46,"mono",460000,5.66275783168157
"OP5","2","O",100,100,27,"mono",270000,5.43136376415899
"OP6","2","O",10000,100,18,"mono",18000000,7.25527250510331
"OP7","2","O",10,100,10,"mono",10000,4
"VP1","2","V",1000,100,1,"mono",100000,5
"VP2","2","V",100,100,13,"mono",130000,5.11394335230684
"VP4","2","V",100,100,4,"mono",40000,4.60205999132796
"VP5","2","V",10,100,18,"mono",18000,4.25527250510331
"VP6","2","V",100,100,1,"mono",10000,4
"VP7","2","V",100,100,1,"mono",10000,4
"CP1","2","P",10,100,18,"comm",18000,4.25527250510331
"CP2","2","P",10,100,21,"comm",21000,4.32221929473392
"CP3","2","P",10,100,11,"comm",11000,4.04139268515823
"CP4","2","P",10,100,36,"comm",36000,4.55630250076729
"CP5","2","P",1,100,5,"comm",500,2.69897000433602
"CP7","2","P",0,0,0,"comm",0,0
"CP1","2","O",1,100,87,"comm",8700,3.93951925261862
"CP2","2","O",NA,NA,NA,"comm",NA,NA
"CP3","2","O",100,100,59,"comm",590000,5.77085201164214
"CP4","2","O",100,100,22,"comm",220000,5.34242268082221
"CP5","2","O",10,10,7,"comm",700,2.84509804001426
"CP7","2","O",10,100,138,"comm",138000,5.13987908640124
"CP1","2","V",100,100,2,"comm",20000,4.30102999566398
"CP2","2","V",10,100,5,"comm",5000,3.69897000433602
"CP3","2","V",10,100,13,"comm",13000,4.11394335230684
"CP4","2","V",100,100,3,"comm",30000,4.47712125471966
"CP5","2","V",100,100,2,"comm",20000,4.30102999566398
"CP7","2","V",100,100,4,"comm",40000,4.60205999132796
